,Chef,Établissement,Localité,Département,Région,naissance,nationalité,distinction,age,nb_distinction,nb_star_chef
48,Takao  Takano,Takao  Takano,Lyon,69 Rhône,Auvergne-Rhône-Alpes,,,,,,
49,Mathieu Viannay,Mère Brazier,Lyon,69 Rhône,Auvergne-Rhône-Alpes,1967-07-14 00:00:00.000000000,Français,,53.0,1.0,2.0
50,Masafumi Hamano,Au 14 février,Saint-Amour-Bellevue,71 Saône-et-Loire,Bourgogne-Franche-Comté,,,,,,
51,Stéphane Buron,Le Chabichou,Courchevel,73 Savoie,Auvergne-Rhône-Alpes,,,,,,
52,Jean-Rémi Caillon,Le Kintessence,Courchevel,73 Savoie,Auvergne-Rhône-Alpes,,,,,,
53,Pieter Riedijk,Le Montgomerie,Courchevel,73 Savoie,Auvergne-Rhône-Alpes,,,,,,
54,Sébastien Vauxion,Sarkara,Courchevel,73 Savoie,Auvergne-Rhône-Alpes,1983-05-29 00:00:00.000000000,Français,,37.0,1.0,2.0
55,Michaël Arnoult,Les Morainières,Jongieux,73 Savoie,Auvergne-Rhône-Alpes,,,,,,
56,Benoit Vidal,L'Atelier D'Edmond,Val d'Isère,73 Savoie,Auvergne-Rhône-Alpes,,,,,,
57,Marc Veyrat,La Maison des Bois,Manigod,74 Haute-Savoie,Auvergne-Rhône-Alpes,1950-05-08 00:00:00.000000000,Français,"['2 étoiles au Guide Michelin', 'Gault et Millau', ""Ordre national de la Légion d'honneur""]",70.0,3.0,2.0
58,Julien  Gatillon,Le 1920,Megève,74 Haute-Savoie,Auvergne-Rhône-Alpes,,,,,,
59,Anthony Bisquerra,La Table de l'Alpaga,Megève,74 Haute-Savoie,Auvergne-Rhône-Alpes,,,,,,
60,Jean Sulpice,Auberge du père Bise - Jean Sulpice,Annecy,74 Haute-Savoie,Auvergne-Rhône-Alpes,,,,,,
61,Yoann Conte,Restaurant Yoann Conte – Bord du Lac,Veyrier-du-Lac,74 Haute-Savoie,Auvergne-Rhône-Alpes,1974-01-01 00:00:00.000000000,Français,,46.0,1.0,2.0
62,Guy Martin,Le Grand Véfour,Paris 1er,75 Paris,Île-de-France,1957-02-03 00:00:00.000000000,Français,,63.0,1.0,2.0
63,Alain Ducasse,Le Meurice,Paris 1er,75 Paris,Île-de-France,1956-09-13 00:00:00.000000000,Français,"['trois étoiles au Guide Michelin', 'Chevalier de la Légion d’honneur']",64.0,2.0,3.0
64,Nicolas Sale,Le Ritz Paris - La Table de l'Espadon,Paris 1er,75 Paris,Île-de-France,1972-07-29 00:00:00.000000000,Français,,48.0,1.0,2.0
65,Thierry Marx,Sur Mesure par Thierry Marx,Paris 1er,75 Paris,Île-de-France,1959-09-19 00:00:00.000000000,Français,,61.0,1.0,2.0
66,David Toutain,David Toutain,Paris 7e,75 Paris,Île-de-France,,,,,,
67,Joël Robuchon,L'Atelier de Joël Robuchon - Saint-Germain,Paris 7e,75 Paris,Île-de-France,1945-04-07 00:00:00.000000000,Français,"['2 étoiles au Guide Michelin', 'Gault et Millau', 'International Herald Tribune', 'Gault et Millau', 'Meilleur ouvrier de France', ""Officier de la Légion d'honneur""]",75.0,6.0,2.0
68,Sylvestre Wahid,Sylvestre (Hôtel Thoumieux),Paris 7e,Paris,Île-de-France,1975-08-03 00:00:00.000000000,Français,,45.0,1.0,2.0
69,Stéphanie Le Quellec,La Scène,Paris 8e,75 Paris,Île-de-France,1981-12-06 00:00:00.000000000,Français,,38.0,1.0,2.0
